category,concept,content,keywords
llm,LLM,"LLM은 Large Language Model의 약자로, 대규모 텍스트 데이터에서 언어의 통계적 패턴과 문맥을 학습하여 입력된 문맥에 이어질 토큰을 생성하는 언어 모델이다. 질문에 대한 답변, 요약, 분류, 변환 등 다양한 언어 작업을 하나의 생성 모델로 수행할 수 있다.","llm,large language model,대규모 언어 모델,언어 모델"
llm,Token,"Token은 LLM이 텍스트를 처리하는 기본 단위이다. 하나의 단어가 하나의 토큰이 될 수도 있고 여러 토큰으로 나뉠 수도 있으며, 모델은 문자 그대로가 아니라 토큰화된 입력을 기반으로 계산을 수행한다.","token,토큰,tokenization,토큰화"
llm,Tokenization,Tokenization은 사용자의 문장을 모델이 계산할 수 있는 토큰 단위로 분해하는 과정이다. 토큰화된 각 단위는 정수 ID로 변환되고 이후 임베딩 벡터로 변환되어 Transformer에 입력된다.,"tokenization,토큰화,token id,입력 처리"
llm,Language Model Prediction,LLM의 기본 학습 목표는 현재까지 주어진 토큰을 바탕으로 다음 토큰의 확률 분포를 예측하는 것이다. 모델은 가능한 토큰 각각의 확률을 계산하고 이 분포를 이용하여 다음 출력을 선택하며 이 과정을 반복해 문장을 생성한다.,"next token prediction,다음 토큰 예측,확률 분포,생성"
llm,Embedding in LLM,LLM은 토큰 ID를 그대로 계산하지 않고 각 토큰을 고차원 벡터로 변환한다. 학습 과정에서 이 벡터 표현과 모델 파라미터가 조정되며 문맥과 의미적 특징을 계산할 수 있는 내부 표현이 만들어진다.,"embedding,임베딩,token embedding,벡터 표현"
llm,Transformer,Transformer는 현대 LLM의 핵심 신경망 구조이다. Attention을 중심으로 입력 토큰 사이의 관계를 계산하고 여러 층을 반복하면서 문맥을 반영한 표현을 만들어 낸다.,"transformer,트랜스포머,attention,신경망"
llm,Attention,Attention은 현재 처리하는 토큰이 문맥 안의 다른 토큰을 얼마나 중요하게 참고해야 하는지 계산하는 메커니즘이다. 토큰 사이의 관련도를 가중치로 계산하여 문맥 의존성을 반영한다.,"attention,어텐션,문맥,가중치"
llm,Self Attention,Self Attention은 하나의 입력 시퀀스 안에 있는 토큰들이 서로를 참고하여 관계를 계산하는 방식이다. 각 토큰은 다른 토큰과의 관련도를 계산하고 중요한 정보에 더 큰 가중치를 부여한다.,"self attention,셀프 어텐션,토큰 관계,문맥 관계"
llm,LLM Parameters,파라미터는 LLM이 학습을 통해 조정하는 수치 값이다. 모델은 방대한 파라미터의 조합을 통해 언어 패턴과 개념 간 연관성을 내부적으로 표현하며 학습 중 손실을 줄이는 방향으로 값이 갱신된다.,"parameter,파라미터,weight,가중치,학습"
llm,Loss Function,손실 함수는 모델이 예측한 다음 토큰의 확률과 실제 정답 사이의 차이를 수치화한다. 학습은 이 손실값을 줄이는 방향으로 모델 파라미터를 수정하는 과정이다.,"loss,손실 함수,예측 오차,학습"
llm,Gradient Descent,경사하강법은 손실 함수의 값을 줄이기 위해 파라미터를 어느 방향으로 얼마나 수정할지 결정하는 최적화 방법이다. 역전파로 계산된 기울기를 이용해 모델의 가중치를 반복적으로 갱신한다.,"gradient descent,경사하강법,gradient,기울기,최적화"
llm,LLM Training,LLM 학습에서는 대량의 텍스트를 토큰화하고 다음 토큰을 예측하게 한 뒤 실제 토큰과의 오차를 계산한다. 역전파와 경사하강법으로 파라미터를 수정하는 과정을 방대한 데이터에 반복한다.,"llm training,학습,역전파,backpropagation,다음 토큰"
llm,LLM Inference,Inference는 학습이 끝난 모델에 새로운 입력을 넣어 실제 출력을 생성하는 단계이다. 사용자의 프롬프트를 토큰화하고 Transformer 계산을 수행한 뒤 다음 토큰을 반복적으로 생성해 최종 답변을 만든다.,"inference,추론,생성,프롬프트"
llm,Prompt,"Prompt는 LLM에 제공되는 입력 정보와 지시사항이다. 사용자 질문뿐 아니라 시스템 지시, 검색된 문서, 대화 기록 등이 하나의 문맥으로 결합되어 모델의 답변 생성에 영향을 줄 수 있다.","prompt,프롬프트,system prompt,user prompt"
